fecha;hora;Nombre Producto;Precio
28/10/2023;09:30;Arvejas Montenevi x 340 Gr;246
28/10/2023;09:30;Mermelada Dulcor Durazno Frasco 454 Gr;802
28/10/2023;09:30;CALABACIN (ANQUITO) X 700G;244
28/10/2023;09:30;MANTECA TONADITA X 200 GR;807
28/10/2023;09:30;MAYONESA HELLMANNS CLASICA X 475 Gr;568
28/10/2023;09:30;ACEITE DE GIRASOL ALSAMAR X 900 ML;1.035
28/10/2023;09:30;PAN FRANCÉS X 500 G;419
28/10/2023;09:30;FIDEOS TALLARINES N7 MATARAZZO X 500 Gr;467
28/10/2023;09:30;PAPA CEPILLADA x 1 kg;799
28/10/2023;09:30;BATATA X 500 G;499
28/10/2023;09:30;Azucar Azucel 1 Kilo;1.025
28/10/2023;09:30;CEBOLLA x 500 g;224
28/10/2023;09:30;BANDEJA LECHUGA MANTECOSA LAVADA SUEÑO VERDE X 200 Gr;1.670
28/10/2023;09:30;TOMATE PERITA X 500G;849
28/10/2023;09:30;MANDARINA X 1KG;549
28/10/2023;09:30;NARANJA P/JUGO X 1KG;549
28/10/2023;09:30;BANANA X 1 Kg;799
28/10/2023;09:30;POLLO FRESCO X UN. (APROX. 2,5KG);2.829
28/10/2023;09:30;PULPA DE JAMÓN DE CERDO x 500 g;1.599
28/10/2023;09:30;MILANESA DE BOLA DE LOMO DE NOVILLITO x 500 g;1.999
28/10/2023;09:30;Huevo Blanco Carnave cartón X 12 Unidades;1.048
28/10/2023;09:30;CERVEZA RUBIA BRAHMA CHOPP LATA 6 X 473ML;4.230
28/10/2023;09:30;YERBA MATE PLAYADITO SUAVE 1K.;2.092
